path	c_exit	c_sha256	model_exit	model_sha256	status_diagnostics_and_artifacts_equal
tests/cgen/expr_literal_char.sn	0	b94e0ba051f5e38d8843adc849c479ef45ebbc91d1cc3f6dfa87b309eb850bae	0	d34cc2600ced6595c1088b3efbf63b75fef20726c079dfffc9cb507a6920ac19	true
tests/cgen/expr_literal_nil.sn	0	baaf9ade86c79703e3ab3a6e9a710eb9ffa245395fa2edb50c0098ddc41d9e9a	0	96309e829f276295780f27f4135d6c5f64aab937592111eaf1122acdddb590e0	true
tests/cgen/expr_literal_string.sn	0	00028d0bd272299becf46fd5271cb2b66a306eefb5e698680cb4329aa440fd6d	0	7e56d194c718e2d1951b69778200c4240d5b581b1b3224dea19c3ed919b08505	true
tests/cgen/expr_match_basic.sn	0	9aece00893d3bfefa9ef4ae6fb29923a4130ae666d09688437ec2dbfce952dab	0	94a4c27477bb16ea1f78f39fac7c1b8a7b5086763b56fcb88baeca4784da3b04	true
tests/cgen/expr_match_else.sn	0	c6b4c8ade25a20256bbd6df9985d355890091651c59486a529a183f742a33453	0	980db1acd1f789b39770477ddb4e8872f33d59efa131ed5a847abce8c8a1910b	true
tests/cgen/expr_match_multi.sn	0	c0b8459d3d57f2b8f7b1d4f76dd6661cc34604df67df2d151aca4c5bc2e50a4e	0	0163f78e586709f2053437f17f7e1d6b7c43aa98959b5ebe1b604c8667dc84cf	true
tests/cgen/expr_member_access.sn	0	084b7da436fe990d0ae923bb0008f7a90aaa4ce5f6b425a54355022b51f449d0	0	6c86f14350ec43c523fb2aa9f7fe647c938e69526369e8838fe53309d7be4bb6	true
tests/cgen/expr_member_assign.sn	0	d6867748d894712416fd56f145cb2d65a725b24a4dc6e1f0ab0558bbd55d81da	0	ac7bcec22eb2f339132b09fc67c19dc1aab5258bc3a9a1b6f4109abc6fb8e571	true
tests/cgen/expr_range.sn	0	8fdc4630e642f473529c8a6bcfa7b2841f470bf1ecd95e495e0d1b908e067075	0	515e1093b2e7ab4f11814f8142ca930d8cccc23efe2dcf157a4488becab63d93	true
tests/cgen/expr_sized_array.sn	0	6fc42fccb89de83439fe9f9fc9a9755c7667ade3b174d257e51b579916480135	0	24935e51cb0800663c0754fb20d02924cd27fa03e6c0078cecd7551f6a07fd7f	true
tests/cgen/expr_sizeof.sn	0	7d74ad11971e75135bf730dd6c0aa2a3604d07ced5d3631aecd3ae35153cb5f1	0	5c2962bbe7e21b2a03fb1b68de56e19f9e20b2d04588c648dd07fe3d157bacba	true
tests/cgen/expr_spread.sn	0	15000258a38da03c42cd875c613de719824b3dd44b3e56c0a3e40bef4b644282	0	105593ef320eed5fb5d3093aa04d14575757bea5c4a2a3f1d3e60ae6cd3a149c	true
tests/cgen/expr_struct_literal_handle.sn	0	0d55e42d88f74698d226617124e1e99da6a19251e5e9030bb2dbbf1303d5af6b	0	551a210d3b03f38e144a1173cee7a843e1becd4ae175c7d8a39604244738d911	true
tests/cgen/expr_thread_detach.sn	0	2631f47d96fb8404986159e9b69832f655722efdcf287e1a7fbf7c149ee6c355	0	dca436577155162640c299e407810de7b4f139a1036a1466c009fb6ea2efbd8c	true
tests/cgen/expr_thread_fire_forget.sn	0	1ca6886426732e62e997ba0d41ecd3071678d34878f6758c0b3014905e506f68	0	c3f7cb034892fc0fdda6aa700de3aeacd559bac4e4baad2d0d5f5b78ddd701d0	true
tests/cgen/expr_thread_spawn.sn	0	1948a5a41deb75eea317f0ccbee6f842e9d4230bed208d1745e479b0a91e65be	0	846ec21ab94aa8aaad222976a1b96ff494a1dcad91dcbb353f9a31507c44d674	true
tests/cgen/expr_thread_spawn_struct_param.sn	0	361f6a85e6eab2f72eea76ef23e7ee09c40e03663d2e7bb9ec557eb2a6eeb83e	0	1813b84d766ef538e529951ea9039fa39183d06cf6549ba097e15b63d54da2c2	true
tests/cgen/expr_thread_sync.sn	0	0ea5e38a06eb4dc8e8d32656e3953eefe78325d8968db1347dd61195ea5bebf8	0	f346dc30224d1d98b1dcc9536b39e6ba57fe691df2ded16d6bcef93be5d23aa9	true
tests/cgen/expr_unary.sn	0	e9f27b93e0b3f6f4feda03313e4918400ff7b6d3da47d45f418ef368ed628d90	0	bce2ce5cf9ae63f0f7c2fff889704f5e4868b4872bfdf2f5b71b7894aa2360e1	true
tests/cgen/expr_value_of.sn	0	eb5027078acd63a2ebf9895e31e576fea610f25c832595a93f5fa3650e550f57	0	658735d10bb35bf841a06609e8915b299ef0f5f2705b4db87af53e5bc20a89e4	true
tests/cgen/fn_native.sn	0	528ed2914b90a7b8ae4b3a83f5d083ba2e93331038352bc7ed5cc2b689b22071	0	ccdcb753ba6b4a43add0b854f33c0ac6c6a7f26105e768ee3af4bceb2ba0d989	true
tests/cgen/fn_tail_call.sn	0	fa8528ae2818f4f13aa06faa7e9116ef0605f17de3343e256fd23ae20f3dc05a	0	87268fbc16de41b33e0e75f2bf923d6d8ae9f5be10d37d183bcf2b9a78716d57	true
tests/cgen/fn_variadic.sn	0	5f95414086c0efe04ba1bd0268d7f10ca577509338c5c72a896ce25a5edb5801	0	ffdbf8bfe535062835653dd72632ecf613045c46e195dfaddf373e1b09beeadb	true
tests/cgen/fn_void.sn	0	a9fd4fdf238c508e5a4b16853bff99ab2c6ba3997a78a27f969e17f834f71c6f	0	f7ce7a088a1abfb691b76735e67d8f6523210082d3ee8439f6a4b13026430785	true
tests/cgen/global_deferred.sn	0	cd760e1f509da65d277c48bd37d5286faa950c68125b9188207a67a3ee61017c	0	9aa8555b34e5917f2b1c5b315f1c2cf83d34669b7488d98449b4b110f9eb0f8d	true
tests/cgen/global_static.sn	0	bed472a3f3c978f471b4f5c9fe4539ae6a599802be4e249ec1ffa491007582bd	0	1ae87a4627161172d204f477b2f8ace30fbcfa80e99da44fcaba9a7afae0f2e7	true
tests/cgen/mem_array_string.sn	0	916975dde600f2323468f076b7e5e26dd70aab8c21bfbfaab226ec9f6be27f68	0	22c02a06aa5f9e8a7b4ec2a6d08642a00a155febca103a4b75cb31ab71ec8f89	true
